id,adult,budget,genres,original_title,overview,popularity,poster_path,release_date,revenue,runtime,tagline,title,vote_average,actor_1,actor_2,actor_3,actor_4,actor_5,director,file_path_1,file_path_2,file_path_3
480042,,,53,Escape Plan: The Extractors,"홍콩 굴지의 기업의 딸이 납치되는 사건이 발생하고, 이를 구출하는 미션을 맡게 되는 최고의 탈출 전문가 레이 슬레브린. 그 과정에서 여자친구까지 사라지는 일이 벌어지고, 이 모든 것이 지난 탈출 사건, 그리고 감옥에 돈을 대고 있는 기업과 연관이 있다는 걸 알게 된다. 그들이 납치된 곳은 악마의 정류장이라 불리는 데빌 스테이션! 이제 선택은 하나다. 살아서 탈출하거나 죽어서 그곳에 묻히거나!",261.433,/cp38wV94kmDg1Uebe6qfGtk1OKf.jpg,/cp38wV94kmDg1Uebe6qfGtk1OKf.jpg,,97,감옥의 끝판왕! 이번엔 데빌 스테이션이다!,이스케이프 플랜 3,4.7,16483,543530,5915,21354,1614437,John Herzfeld,/ygWKYTu7OnZKF9H5NsgjL9iURGV.jpg,/6DPPS9LeLaZW1CpH7grgWeYG4nV.jpg,/yxmfjj4YiFcJipn9nYVBRxeCvo9.jpg
637,,20000000,18,La vita è bella,"로마에 갓 상경한 시골 총각 귀도는 운명처럼 만난 여인 도라에게 첫눈에 반한다. 넘치는 재치와 유머로 약혼자가 있던 그녀를 사로잡은 귀도는 가정을 꾸리며 분신과도 같은 아들 조수아를 얻는다. 조수아의 다섯 살 생일, 갑작스레 들이닥친 군인들은 귀도와 조수아를 수용소 행 기차에 실어버리고, 소식을 들은 도라 역시 기차에 따라 오른다. 귀도는 아들을 달래기 위해 무자비한 수용소 생활을 단체게임이라 속이고 1,000점을 따는 우승자에게는 진짜 탱크가 주어진다고 말한다. 하루하루가 지나 어느덧 전쟁이 끝났다는 말을 들은 귀도는 조수아를 창고에 숨겨둔 채 아내를 찾아 나서는데...",21.678,/zypmMXejg6Tmcpqk9qY6WglKarq.jpg,/zypmMXejg6Tmcpqk9qY6WglKarq.jpg,229400000,116,깐느가 그랑프리를 헌사한 이탈리아 영화천재의 걸작,인생은 아름다워,8.5,4818,9235,9236,9237,9238,Roberto Benigni,/bORe0eI72D874TMawOOFvqWS6Xe.jpg,/gavyCu1UaTaTNPsVaGXT6pe5u24.jpg,/2OCnk9JcjWUUepUBndMG1pdHT3y.jpg
423204,,70000000,28,Angel Has Fallen,"비밀 경호국 최고 요원 ‘배닝’(제라드 버틀러)의 엄호 중 '트럼불' 대통령(모건 프리먼)을 향한 초대형 규모의 드론 테러가 발생한다. 가까스로 대통령을 구하고 유일하게 살아남은 '배닝'은 완벽히 조작된 음모에 의해 대통령 암살사건의 테러범으로 지목되고, 국가 영웅은 한순간에 일급 수배자가 되어 FBI에게 쫓기게 되는데...",179.849,/fxMT7ex1n89UJIPWEO8wtLVbFfw.jpg,/fxMT7ex1n89UJIPWEO8wtLVbFfw.jpg,,121,"사상 최대의 드론 테러 발생! 대통령을 구한 영웅, 암살범이 되다!",엔젤 해즈 폴른,5.8,17276,192,9575,129101,1462,Ric Roman Waugh,/k2WyDw2NTUIWnuEs5gT7wgrCQg6.jpg,/4dwmJwyc1r55wTbHDDkyOhDPHII.jpg,/xPaoV13DmzfLE7H2GTh8VZbtB1a.jpg
13,,55000000,10749,Forrest Gump,"불편한 다리, 남들보다 조금 떨어지는 지능을 가진 포레스트 검프는 헌신적인 어머니의 보살핌과 첫사랑 제니와의 만남으로 편견과 괴롭힘 속에서도 따뜻한 마음을 지니고 성장한다. 또래들의 괴롭힘을 피해 도망치던 포레스트는 누구보다 빠르게 달릴 수 있는 자신의 재능을 깨닫는다. 그의 재능을 알아 본 대학에서 그를 미식축구 선수로 발탁하고, 졸업 후에도 뛰어난 신체능력으로 군에 들어가 무공훈장을 수여받는 등 탄탄한 인생 가도에 오르게 된 포레스트. 하지만 어머니가 병에 걸려 죽음을 맞이하고, 첫사랑 제니 역시 그의 곁을 떠나가며 다시 한 번 인생의 전환점을 맞이하게 되는데...",30.974,/85hhHEM3KPgFqaLjRsrRxpx8e9f.jpg,/85hhHEM3KPgFqaLjRsrRxpx8e9f.jpg,677945399,142,인생은 초콜릿 상자와 같은 거야. 네가 무엇을 고를지 아무도 모른단다,포레스트 검프,8.4,31,32,33,34,35,Robert Zemeckis,/wMgbnUVS9wbRGAdki8fqxKU1O0N.jpg,/4fT3pmeO7NnyT1TBkSElIDhVThU.jpg,/x3guclPS78L7jz9Nf5vhsrKdvm0.jpg
920,,120000000,10751,Cars,"화려한 성공과 갈채를 꿈꾸는 주인공 라이트닝 맥퀸(오웬 윌슨)은 경주에서 성공하는 것만이 인생의 모든 것이라 생각하는 타오르는 청춘. 하지만 피스톤 컵 챔피온쉽에 참가하기 위해 달리던 중 경쟁과 함성과는 동떨어진 래디에이터 스프링스란 한적한 시골로 들어서게 된다. 이제는 지도에 조차 표시되지 않는 한적한 66번 국도. 조용하지만 다양한 캐릭터들이 큰 열정을 간직하고 있는 이곳에서 맥퀸은 미스터리한 과거를 지닌 닥 허드슨(폴 뉴먼)과 샐리(보니 헌트), 그리고 메이터(래리 더 케이블 가이)를 만나게 된다. 그들을 통해 인생이란 목적지가 아닌, 여행하는 과정 그 자체이며 명성과 스폰서, 트로피 뒤에 가려진 소중한 가치를 깨닫게 되는데...",132.003,/pWFtiGLZdBTEJHrKM3AcTMuw9ue.jpg,/pWFtiGLZdBTEJHrKM3AcTMuw9ue.jpg,461983149,117,픽사가 신차를 공개합니다,카,6.7,887,3636,5149,15897,4252,John Lasseter,/a1MlbLBk5Sy6YvMbSuKfwGlDVlb.jpg,/6pwDuJXUD5DDDkNzomcVTYSzV97.jpg,/fXZIwmAJBGwcSiRz02yuq2FWYhG.jpg
155,,185000000,53,The Dark Knight,"범죄와 부정부패를 제거하여 고담시를 지키려는 배트맨(크리스찬 베일). 그는 짐 고든 형사(게리 올드만)와 패기 넘치는 고담시 지방 검사 하비 덴트(아론 에크하트)와 함께 도시를 범죄 조직으로부터 영원히 구원하고자 한다. 세 명의 의기투합으로 위기에 처한 악당들이 모인 자리에 보라색 양복을 입고 얼굴에 짙게 화장을 한 괴이한 존재가 나타나 배트맨을 죽이자는 사상 초유의 제안을 한다. 그는 바로 어떠한 룰도, 목적도 없는 사상 최악의 악당 미치광이 살인광대 조커(히스 레저). 배트맨을 죽이고 고담시를 끝장내버리기 위한 조커의 광기 어린 행각에 도시는 혼란에 빠지는데...",53.995,/dd0B0vwzAjuu5hGAr9GiGNBkreE.jpg,/dd0B0vwzAjuu5hGAr9GiGNBkreE.jpg,1004558444,152,이 도시에 정의는 죽었다,다크 나이트,8.4,3894,3895,1810,64,6383,Christopher Nolan,/hqkIcbrOHL86UncnHIsHVcVmzue.jpg,/nnMC0BM6XbjIIrT4miYmMtPGcQV.jpg,/thhj160MUUBrU4PkuLRmAf5t9Vy.jpg
486589,,,10749,Red Shoes 2019,"사건 사고가 끊이지 않는 동화의 섬. 사라진 아빠를 찾던 화이트 왕국의 공주는 우연히 마법구두를 신고 이전과 완벽하게 다른 ‘레드슈즈’로 거듭난다. 한편, 초록색 난쟁이가 된 일곱 왕자들은 우연히 자신들의 집에 머물게 된 '레드슈즈’가 저주를 풀 유일한 희망이라 생각해 그녀를 돕기 시작하고, 영원한 아름다움을 꿈꾸는 왕비 ‘레지나’는 마법구두를 신고 성을 빠져나간 ‘레드슈즈’를 쫓기 시작하는데…",96.42,/3yZ54uGQ4HxEbpNVO565mU1xagp.jpg,/3yZ54uGQ4HxEbpNVO565mU1xagp.jpg,,92,"위기에 빠진 동화의 섬, 레드슈즈, 그리고 일곱 왕자들의 운명은?",레드슈즈,5.9,56734,237455,11150,161932,9657,Hong Sung-ho,/bga3i5jcejBekr2FCGJga1fYCh.jpg,/nKfoNygZcXsNZD9RAL06VLgAcd9.jpg,/yS35rq3l4ZFrRVDoio0fjeVwGHq.jpg
311,,20000000,80,Once Upon a Time in America,"1921년, 좀도둑질을 일삼던 누들스는 친구들과 함께 밀수품 운반 일을 하며 돈을 벌어들인다. 누들스 무리에 위협을 느낀 벅시는 누들스의 친구를 죽이고, 분노한 누들스는 벅시를 살해한 후 감옥에 들어가게 된다. 1932년, 출소한 누들스는 어린 시절 첫사랑 데보라와 밀주 사업으로 크게 성공한 맥스를 다시 만나지만, 금주법 철폐로 밀주 사업도 위기를 맞는다. 맥스는 누들스에게 연방준비은행을 털 것을 제안하지만 누들스는 거절한다. 1968년, 베일리 재단 파티에 초대 받은 누들스는 재단 창립 기념 사진 속에서 데보라를 발견하고 그녀를 찾아가는데...",19.505,/lQi3dIZpXzQxfpLBHxdBOWBeKsE.jpg,/lQi3dIZpXzQxfpLBHxdBOWBeKsE.jpg,5300000,229,인간은 결국 인간이다,원스 어폰 어 타임 인 아메리카,8.4,380,4512,4513,4517,4521,Sergio Leone,/vnT6HzjLSDrAweHn9xWykb8Ii6T.jpg,/scoiASXaPnPNZMDo2cl382aCeuR.jpg,/gUdk0FMw38DSUqpnLLHCAWN60he.jpg
458897,,,35,Charlie's Angels,,122.323,/r5WnfZPYAVhBA9FuZGn6THWaGHD.jpg,/r5WnfZPYAVhBA9FuZGn6THWaGHD.jpg,,118,,미녀 삼총사,6.2,37917,240724,2092879,9281,17243,Elizabeth Banks,/a0xTB1vBxMGt6LGG4N7k1wO9lfL.jpg,/kITQJHo88wMaXS2QjcMHh55ulti.jpg,/xv3ADrxI2iKPB0XQRSs1zRzzyGC.jpg
122,,94000000,28,The Lord of the Rings: The Return of the King,"사우론이 인간들의 마지막 요새인 곤도르를 향해 야욕을 드러내고 있는 한편, 아라곤은 쇠락해가고 있는 곤도르의 재건을 위해 왕위 계승을 신중하게 결정지어야만 하는 상황. 이제 중간대륙의 미래는 그의 어깨에 달려있는 것. 사우론이 이끄는 어둠의 군대와의 마지막 전투를 위해 간달프는 곤도르에 흩어져 있던 병사들을 모으고, 로한의 왕 세오덴에게 도움을 받기도 하지만 사우론의 군대에 비하면 열세를 면치 못한다. 그러나 그들은 중간대륙을 사우론의 야욕으로부터 지키려는 사명감과, 마지막 반지 운반자에게 임무를 끝낼 기회를 주기 위해 어둠의 군대를 향해 돌진하게 되는데...",46.929,/tAXXuEAKLk2mOEIJzwajJQEnVZu.jpg,/tAXXuEAKLk2mOEIJzwajJQEnVZu.jpg,1118888979,199,곤도르의 진정한 왕이 돌아왔다,반지의 제왕: 왕의 귀환,8.4,109,1327,110,1328,882,Peter Jackson,/8BPZO0Bf8TeAy8znF43z8soK3ys.jpg,/vL5zJK4p5CmyjyVsxcdhmeo7J1J.jpg,/9DeGfFIqjph5CBFVQrD6wv9S7rR.jpg
